# Frequency       Real(mHT)             Imag(mHT)
112265.45976500     0.499654214932333    -3.050708301100438
112265.46011600     0.503640344281149    -3.060629531941252
112265.46046700     0.507670174400932    -3.070609284745940
112265.46081800     0.511744286980881    -3.080648003377688
112265.46116900     0.515863272602855    -3.090746135193412
112265.46152000     0.520027730373415    -3.100904129793668
112265.46187100     0.524238269103897    -3.111122441551028
112265.46222200     0.528495506965260    -3.121401528381430
112265.46257300     0.532800071111558    -3.131741850470071
112265.46292400     0.537152598903659    -3.142143872843468
112265.46327500     0.541553737556614    -3.152608064117170
112265.46362600     0.546004143754537    -3.163134895196857
112265.46397700     0.550504484919899    -3.173724841894904
112265.46432800     0.555055438853436    -3.184378383653633
112265.46467900     0.559657693340268    -3.195096002220888
112265.46503000     0.564311947466956    -3.205878184311817
112265.46538100     0.569018911253862    -3.216725420306917
