# Frequency       Real(mHT)             Imag(mHT)
112265.43695000     0.117353643484836    -1.731609213701899
112265.43730100     0.117846597081308    -1.734985831782799
112265.43765200     0.118342782576454    -1.738375801072629
112265.43800300     0.118842228851584    -1.741779201170769
112265.43835400     0.119344965050587    -1.745196111877590
112265.43870500     0.119851020708532    -1.748626614047023
112265.43905600     0.120360425694623    -1.752070789171845
112265.43940700     0.120873210152726    -1.755528718958880
112265.43975800     0.121389404632669    -1.759000486191909
112265.44010900     0.121909040032172    -1.762486174312135
112265.44046000     0.122432147536315    -1.765985866988371
112265.44081100     0.122958758751590    -1.769499648990494
112265.44116200     0.123488905646806    -1.773027605764987
112265.44151300     0.124022620491449    -1.776569823000045
112265.44186400     0.124559935992590    -1.780126387509749
112265.44221500     0.125100885234729    -1.783697386804612
112265.44256600     0.125645501617033    -1.787282908651511
112265.44291700     0.126193818993179    -1.790883041968778
112265.44326800     0.126745871610110    -1.794497876391668
112265.44361900     0.127301694044139    -1.798127501827017
112265.44397000     0.127861321343792    -1.801772009359458
112265.44432100     0.128424788967480    -1.805431490811728
112265.44467200     0.128992132718421    -1.809106038293941
112265.44502300     0.129563388890594    -1.812795745121165
112265.44537400     0.130138594205286    -1.816500705368445
112265.44572500     0.130717785744813    -1.820221013414630
112265.44607600     0.131301001101681    -1.823956764871486
112265.44642700     0.131888278313980    -1.827708056133379
112265.44677800     0.132479655797884    -1.831474983915523
112265.44712900     0.133075172500109    -1.835257646194878
112265.44748000     0.133674867832139    -1.839056141754382
112265.44783100     0.134278781601464    -1.842870569715523
112265.44818200     0.134886954167452    -1.846701030491247
112265.44853300     0.135499426374370    -1.850547625324632
112265.44888400     0.136116239481341    -1.854410455815697
112265.44923500     0.136737435321735    -1.858289624886538
112265.44958600     0.137363056234951    -1.862185236314355
112265.44993700     0.137993144995077    -1.866097394252374
112265.45028800     0.138627744973896    -1.870026204207467
112265.45063900     0.139266900071426    -1.873971772567410
112265.45099000     0.139910654643223    -1.877934206115831
112265.45134100     0.140559053667140    -1.881913613022535
112265.45169200     0.141212142672591    -1.885910102364908
112265.45204300     0.141869967666476    -1.889923783636762
112265.45239400     0.142532575303799    -1.893954767751621
112265.45274500     0.143200012815627    -1.898003166558160
112265.45309600     0.143872327933623    -1.902069092342838
112265.45344700     0.144549569064639    -1.906152658846395
112265.45379800     0.145231785217347    -1.910253980773226
112265.45414900     0.145919025925335    -1.914373173287659
112265.45450000     0.146611341425823    -1.918510353043956
